filename,brickname,objid,ra,dec,flux_g,flux_r,flux_z,mag_g,mag_r,mag_z,nobs_g,nobs_r,nobs_z
cutout_000000,0001m002,0,0.0527118435222,-0.36269743892,1459.76,2428.93,3602.44,14.5892977819,14.036463064,13.6085074345,11,12,5
cutout_000001,0001m002,1,0.0370706554961,-0.357002376931,5.13909,19.0086,70.7789,20.7227853842,19.3026273192,17.875239821,13,11,5
cutout_000002,0001m002,2,0.0291172974117,-0.380415086278,4.19011,16.1292,50.178,20.9444364471,19.4809676625,18.2487158416,13,11,6
cutout_000003,0001m002,3,0.0323574873756,-0.343962397918,1.97586,7.86212,38.1991,21.7606075676,20.2611502978,18.5448668508,13,10,5
cutout_000004,0001m002,4,0.0562182609969,-0.374811645175,0.981831,2.62141,4.84291,22.5199082652,21.4536620449,20.7872336795,10,11,5
cutout_000005,0001m002,5,0.0610445914904,-0.351853085281,9.57729,28.0188,108.556,20.0468934323,18.8813769321,17.4108672936,10,10,4
cutout_000006,0001m002,6,0.0297338560064,-0.342025459991,0.805801,2.22052,5.07404,22.7344307713,21.6338624245,20.7366148333,13,10,5
cutout_000007,0001m002,7,0.0717937156212,-0.337534764501,0.0982342,0.538871,2.12776,25.0193430657,23.1712874205,21.6801942954,13,9,4
cutout_000008,0001m002,8,0.0472831938524,-0.348819046311,2.88717,3.65709,24.1599,21.3488205727,21.092161844,19.0422621081,13,11,5
cutout_000009,0001m002,9,0.0635523036136,-0.347375348068,0.14642,0.693597,1.97517,24.5859983658,22.8972325121,21.7609911329,10,10,4
cutout_000010,0001m002,10,0.0301655124969,-0.344619215041,0.284864,0.585934,1.99489,23.8634050208,23.0803790708,21.7502008259,13,10,5
cutout_000011,0001m002,11,0.0691117933733,-0.340086973299,0.208166,0.689408,2.32867,24.2039779048,22.9038092953,21.58222846,13,8,4
cutout_000012,0001m002,12,0.034458758997,-0.372216720263,0.413114,0.904298,2.08102,23.4598253664,22.6092216369,21.7043069455,13,11,6
cutout_000013,0001m002,13,0.0578468199139,-0.377212641307,0.533211,1.03699,1.48102,23.1827521217,22.4605644058,22.0735997289,10,11,5
cutout_000014,0001m002,14,0.0580542480348,-0.363081116336,198.251,571.703,2248.92,16.7569602946,15.6070745186,14.1200669759,10,11,4
cutout_000015,0001m002,15,0.045902758246,-0.349340199008,3.73094,6.086,36.2858,21.0704547769,20.5391692216,18.6006570663,13,11,5
cutout_000016,0001m002,16,0.0596941909487,-0.377594105233,0.561731,0.652132,1.3661,23.1261790498,22.9641606832,22.1612970213,10,11,5
cutout_000017,0001m002,17,0.0549448906834,-0.348756369268,2.61594,6.44671,23.12,21.4559313383,20.4766553847,19.0900325917,10,10,5
cutout_000018,0001m002,18,0.0601086117801,-0.378431378914,0.294861,0.335083,0.623274,23.8259581202,23.6871191174,23.0133025407,10,11,5
cutout_000019,0001m002,19,0.0650969331056,-0.378069595709,0.137907,0.260088,0.779289,24.6510307781,23.9622002427,22.770754043,12,11,5
cutout_000020,0001m002,20,0.0567026486169,-0.376934003062,0.169822,0.266614,0.410527,24.4250144349,23.9352921669,23.4666465779,10,11,5
cutout_000021,0001m002,21,0.028210823902,-0.342268660581,0.0340257,0.0989138,0.426709,26.1704819814,25.0118576202,23.4246693092,13,10,5
cutout_000022,0001m002,22,0.0590279617038,-0.373087435239,0.0190452,0.139284,0.426891,26.8005337663,24.6402462954,23.4242082801,10,11,5
cutout_000023,0001m002,23,0.0285066684832,-0.339828028191,0.309177,0.471984,0.891231,23.7744803776,23.3151811116,22.62502371,13,10,5
cutout_000024,0001m002,24,0.0346272789809,-0.346718036735,0.635741,2.51035,11.5123,22.9917994551,21.5006635859,19.8470990573,13,10,5
cutout_000025,0001m002,25,0.0610698229385,-0.345547695832,0.242501,0.67157,1.29992,24.0382152947,22.9322710146,22.2152118631,10,10,4
cutout_000026,0001m002,26,0.0616961878288,-0.356539458617,9.23821,22.1469,47.7192,20.0860304278,19.1367197476,18.3032681901,10,11,4
cutout_000027,0001m002,27,0.0615868825963,-0.371502753806,5.0646,6.71156,7.57814,20.7386362686,20.4329413617,20.3010936413,10,11,5
cutout_000028,0001m002,28,0.0499995053385,-0.368468906442,390.441,793.1,3470.09,16.0211107453,15.2516793292,13.6491473693,13,12,5
cutout_000029,0001m002,29,0.0337716603966,-0.366471005108,0.180956,0.572763,1.40917,24.3560645696,23.1050618593,22.127593717,13,11,5
cutout_000030,0001m002,30,0.0733485980855,-0.358763246827,0.101244,0.592498,1.65167,24.986574795,23.0682835285,21.9551915502,13,9,4
cutout_000031,0001m002,31,0.0609811429904,-0.354486882888,0.757379,1.44063,4.30778,22.8017175278,22.1036153828,20.9143652354,10,11,4
cutout_000032,0001m002,32,0.0347704633483,-0.354674596054,0.667123,1.1739,4.53194,22.9394848839,22.3259212475,20.8592885666,13,11,5
cutout_000033,0001m002,33,0.0377157224659,-0.366187794564,32.2459,125.67,535.197,18.7288151303,17.2519248595,15.6787165245,13,11,5
cutout_000034,0001m002,34,0.0342558182516,-0.358326407209,0.623143,1.219,5.45044,23.0135298519,22.284992765,20.6589210763,13,11,5
cutout_000035,0001m002,35,0.0320293165553,-0.342240458823,0.0746487,0.248829,0.404082,25.317443806,24.0102486122,23.4838266421,13,10,5
cutout_000036,0001m002,36,0.0574734752112,-0.34861495027,0.263933,1.02413,2.49842,23.9462653583,22.4741105249,21.5058376085,10,10,4
cutout_000037,0001m002,37,0.052388138845,-0.345721290399,1.49778,3.18336,13.7746,22.0613828138,21.2427846573,19.6523011919,11,11,5
cutout_000038,0001m002,38,0.043028442541,-0.366263972164,256.985,127.368,3867.86,16.475229323,17.2373489884,13.5313237605,13,12,5
cutout_000039,0001m002,39,0.0424720825238,-0.372010792823,1.39264,2.37993,14.942,22.1404023854,21.5585874523,19.5639808566,13,12,6
cutout_000040,0001m002,40,0.0557988589571,-0.349282948044,1.20202,2.44685,8.27192,22.3002207198,21.5284834949,20.2059836753,10,10,4
cutout_000041,0001m002,41,0.0555365259073,-0.358403302804,18.1924,30.4873,129.22,19.3502769154,18.7897012575,17.2216771055,10,11,4
cutout_000042,0001m002,42,0.0343076042074,-0.363552916126,1.30424,4.70745,17.2448,22.2116042328,20.8180356521,19.4083528619,13,11,5
cutout_000043,0001m002,43,0.0664479985785,-0.34267690616,0.366185,5.13794,13.1347,23.5907478577,20.7230276768,19.7039465462,13,8,4
cutout_000044,0001m002,44,0.0360384486503,-0.347978085112,7.92669,22.0802,111.239,20.252270893,19.1399943226,17.3843548848,13,10,5
cutout_000045,0001m002,45,0.0683892944843,-0.357118731645,0.450458,0.732386,1.83882,23.365865061,22.8381494073,21.8386540856,13,9,4
cutout_000046,0001m002,46,0.0679535128758,-0.358445839656,0.129933,0.205092,0.467578,24.7157032459,24.2201301019,23.3253637456,13,9,4
cutout_000047,0001m002,47,0.0509847864025,-0.378699249564,1.01429,1.31405,6.19508,22.4845899455,22.2034663638,20.519882881,13,12,6
cutout_000048,0001m002,48,0.036133985563,-0.370480700016,-0.195327,0.3723,2.73947,nan,23.5727668816,21.4058320882,13,11,5
cutout_000049,0001m002,49,0.0487347215402,-0.360530210959,329492.0,780463.0,1.80672e+06,8.70538819011,7.76911860188,6.85777305939,13,12,5
cutout_000050,0001m002,50,0.226008493895,-0.377656360903,4.19646,18.5483,156.839,20.9427911349,19.3292399067,17.0113634495,14,11,6
cutout_000051,0001m002,51,0.224884783428,-0.374595869564,0.916501,4.36211,16.8699,22.5946675909,20.9007591822,19.4322215367,14,11,6
cutout_000052,0001m002,52,0.22631849059,-0.374221598608,0.113676,0.522436,1.76764,24.8608264558,23.2049175645,21.8815164603,14,11,6
cutout_000053,0001m002,53,0.224421136269,-0.375874068917,0.230576,0.407755,1.09532,24.0929628234,23.4740008462,22.4011426276,14,11,5
cutout_000054,0001m002,54,0.223726914739,-0.374312204107,0.133866,0.309532,0.346055,24.683328183,23.7732370745,23.6521377258,14,11,5
cutout_000055,0001m002,55,0.225504502145,-0.372494384685,0.0911849,0.184617,0.352268,25.1001929694,24.33432178,23.6328163096,14,11,6
cutout_000056,0001m002,56,0.227895075246,-0.373917791522,0.0566558,0.136711,0.0457431,25.6168898401,24.6604909346,25.8491858603,14,11,6
cutout_000057,0001m002,57,0.22670632948,-0.380230600325,0.0863801,0.110185,0.141135,25.1589655073,24.8946979865,24.625915435,14,11,6
cutout_000058,0001m002,58,0.224140251797,-0.377545241955,0.00978694,0.0751717,0.366066,27.5233823469,25.3098636179,23.5911027543,14,11,5
cutout_000059,0001m002,59,0.102477568342,-0.37288768948,12566.6,16970.8,19517.2,12.2519553355,11.9257424336,11.7739543634,12,11,5
cutout_000060,0001m002,60,0.0993809312004,-0.378318255501,2.27584,8.82495,25.5824,21.6071446105,20.1357190618,18.9801458796,12,11,5
cutout_000061,0001m002,61,0.101661462661,-0.375916382872,6.81009,20.3871,45.9965,20.4171173987,19.2266111024,18.3431874596,12,11,5
cutout_000062,0001m002,62,0.108026572307,-0.377720649372,0.296715,1.21502,8.61024,23.8191512754,22.2885440448,20.1624621145,13,11,5
cutout_000063,0001m002,63,0.102550904286,-0.372633681344,68.9426,246.222,418.126,17.9037816897,16.5216822108,15.9467325925,12,11,5
cutout_000064,0001m002,64,0.108034024268,-0.367427142166,0.211915,0.305123,0.557731,24.1845975981,23.7888133088,23.1339382394,13,11,4
cutout_000065,0001m002,65,0.10421523066,-0.374640494644,11.4407,3.0267,-1.40926,19.8538723798,21.2975768393,nan,12,11,5
cutout_000066,0001m002,66,0.105297628578,-0.367680417871,0.139645,0.0454886,0.208145,24.6374384444,25.8552434358,24.2040855905,12,11,4
cutout_000067,0001m002,67,0.155567862402,-0.377947391961,1.29803,4.35862,10.954,22.2167870566,20.9016277858,19.9010707836,12,11,5
cutout_000068,0001m002,68,0.154881226302,-0.376209339926,0.419302,1.02172,1.75141,23.4436827471,22.4766755291,21.891531159,12,11,5
cutout_000069,0001m002,69,0.0179427683555,-0.375765784635,1.01539,1.44525,2.47321,22.4834210677,22.1001407416,21.51684937,13,10,6
cutout_000070,0001m002,70,0.193441345483,-0.375699403242,261.465,423.912,507.604,16.4564671731,15.9318114026,15.7361864805,15,11,5
cutout_000071,0001m002,71,0.195997523603,-0.375342874314,0.156883,0.23981,0.886602,24.5110617233,24.050333293,22.6306780306,15,11,5
cutout_000072,0001m002,72,0.193002150224,-0.372531449816,0.180791,0.215461,0.436152,24.3570580731,24.1665792815,23.4009052785,15,11,5
cutout_000073,0001m002,73,0.139795816543,-0.375071472388,1.0586,4.33794,8.87672,22.4381681289,20.9067911305,20.1293689749,13,11,5
cutout_000074,0001m002,74,0.141232322239,-0.376530589194,1.24863,2.30862,2.81327,22.2589159685,21.5916200188,21.3769696218,13,11,5
cutout_000075,0001m002,75,0.249229937783,-0.374757081046,0.0687393,0.487081,3.29952,25.4069880299,23.2809966196,21.2038739051,14,11,6
