# iteration xent_test auc_test xent_train auc_train
100 1.1422331 0.75291693 1.0634973 0.77001577
200 1.3403162 0.70450151 1.1552906 0.72904838
300 0.97566423 0.79064654 0.74597821 0.79386368
400 0.80766663 0.78857986 0.74926596 0.78885325
500 0.64808378 0.81280036 0.65612855 0.79511156
600 0.70311931 0.81058125 0.72533725 0.79150871
700 0.58607337 0.81345021 0.53047628 0.82533018
800 0.53895198 0.82551134 0.57509209 0.80381208
900 0.60719888 0.83926305 0.5427518 0.83247426
1000 0.6901932 0.83907741 0.63150449 0.83215231
1100 0.50493512 0.83443763 0.48142195 0.8442242
1200 0.68879355 0.82961359 0.68036912 0.83507133
1300 0.54690655 0.83762875 0.57477888 0.81585928
1400 0.54045714 0.82009257 0.5589785 0.80028378
1500 0.62736707 0.83662469 0.61369965 0.83771825
1600 0.4914469 0.86170489 0.5046164 0.85660512
1700 0.58709824 0.85203929 0.57881502 0.84811808
1800 0.47380523 0.86103844 0.46251889 0.85793308
1900 0.49182088 0.86612952 0.47440945 0.85841174
2000 0.44460321 0.87743266 0.42106932 0.87883335
2100 0.45768643 0.86829145 0.42904706 0.87119607
2200 0.47644774 0.87669657 0.4383022 0.8830651
2300 0.48358454 0.85617958 0.46442253 0.86301321
2400 0.57532284 0.8457373 0.58698908 0.83614981
2500 0.51128847 0.87284268 0.51646962 0.86038106
2600 0.49679991 0.85278968 0.50373037 0.84213787
2700 0.48183577 0.86969676 0.48741302 0.85672605
2800 0.43103037 0.88791138 0.42875739 0.88245997
2900 0.43957429 0.88506847 0.42600182 0.88100785
3000 0.43169185 0.89383195 0.4170158 0.89382819
3100 0.4069396 0.89867835 0.40799029 0.89149676
3200 0.45929642 0.88471564 0.46115813 0.87249588
3300 0.44692393 0.88455514 0.44909419 0.87272159
3400 0.40675672 0.90458831 0.41142542 0.89587067
3500 0.43959245 0.89933742 0.44226499 0.88778151
3600 0.4423796 0.89524325 0.45052513 0.88265614
3700 0.42193939 0.89778406 0.42352639 0.8862043
3800 0.43394566 0.89885869 0.43419761 0.89086578
3900 0.38040905 0.9120627 0.37735989 0.91071688
4000 0.40968047 0.90700137 0.41474705 0.8976279
4100 0.4062196 0.90964411 0.39925945 0.90447034
4200 0.41122399 0.90490332 0.42457298 0.89504999
4300 0.46313077 0.89935587 0.45407718 0.89438624
4400 0.39858514 0.91284584 0.41201055 0.90325777
4500 0.44253868 0.9079404 0.43775469 0.90304914
4600 0.37703246 0.91433417 0.38926082 0.90417216
4700 0.38814363 0.91780386 0.39570661 0.90950016
4800 0.39174414 0.91723611 0.40513954 0.90446619
4900 0.37166641 0.91489823 0.38124085 0.90677316
5000 0.40477502 0.91635335 0.41421487 0.90675192
5100 0.39991663 0.91798281 0.40640962 0.91225763
5200 0.3949366 0.91384897 0.41113949 0.90149778
5300 0.36215933 0.92808011 0.36924872 0.92157205
5400 0.35667477 0.92679978 0.37172673 0.91648061
5500 0.35472862 0.93145571 0.35413433 0.93143991
5600 0.4022029 0.9179699 0.40088835 0.9109449
5700 0.35222527 0.93217151 0.35344942 0.92878675
5800 0.34178402 0.92565921 0.35204508 0.91690342
5900 0.36452242 0.92933276 0.37522527 0.92189539
6000 0.35591163 0.92863863 0.36099217 0.92500735
6100 0.39774737 0.92588197 0.41284347 0.91874973
6200 0.33584895 0.93059555 0.3526827 0.92112917
6300 0.31603914 0.93585059 0.33245404 0.9278996
6400 0.32828816 0.9355033 0.34006622 0.92892431
6500 0.33572687 0.93311561 0.34572532 0.926243
6600 0.34660182 0.93107106 0.35768216 0.92280147
6700 0.35440999 0.93228266 0.37144606 0.923618
6800 0.31000082 0.94332268 0.3079206 0.94164495
6900 0.33594304 0.93265532 0.34746643 0.92401588
7000 0.30440404 0.94108811 0.30879536 0.93683945
7100 0.31006613 0.94039675 0.31275661 0.94094981
7200 0.31271116 0.9367435 0.32515028 0.9313679
7300 0.32678169 0.93929307 0.32869581 0.93677391
7400 0.32817476 0.93402927 0.34117292 0.9260399
7500 0.30350144 0.94372116 0.31021974 0.94345618
7600 0.29596876 0.94034371 0.31077847 0.93298989
7700 0.29002825 0.9454032 0.29068502 0.94592516
7800 0.29478362 0.94669044 0.29656465 0.944888
7900 0.30344039 0.94118173 0.30874102 0.93677437
8000 0.29986746 0.94222914 0.312606 0.9367716
8100 0.29369598 0.94667983 0.29163622 0.94680308
8200 0.29271277 0.94475889 0.30074052 0.94175526
8300 0.29219071 0.94590961 0.29565902 0.94385544
8400 0.30798125 0.94459516 0.31853913 0.94275043
8500 0.28762353 0.94381617 0.29081172 0.94151293
8600 0.29598859 0.94584458 0.28918597 0.94790995
8700 0.29028546 0.94801089 0.29095042 0.94857508
8800 0.27775413 0.95012508 0.27979132 0.94949363
8900 0.29386212 0.94565272 0.29719562 0.94388083
9000 0.30996353 0.94257736 0.32624658 0.93588399
9100 0.30109435 0.94823965 0.31112067 0.94356373
9200 0.27395561 0.9543424 0.28516799 0.95109069
9300 0.2687971 0.95521731 0.26980494 0.95576878
9400 0.26616931 0.95674807 0.26290933 0.95788789
9500 0.27346159 0.95589852 0.27379745 0.95598942
9600 0.29604472 0.95156129 0.29127319 0.95169397
9700 0.27526463 0.95577261 0.27426322 0.95658024
9800 0.27333055 0.96046728 0.27612964 0.96260799
9900 0.27199312 0.95750907 0.27089796 0.95856272
10000 0.29968427 0.95033078 0.30112038 0.94890927
